43499.34	98.96	2379.61
43498.73	69.98	2449.59
43498.48	0.00	2478.57
43498.73	-69.98	2449.59
43499.34	-98.96	2379.61
43499.95	-69.98	2309.64
43500.21	-0.00	2280.65
43499.95	69.98	2309.64
43499.34	197.93	2379.61
43498.12	139.96	2519.57
43497.62	0.00	2577.54
43498.12	-139.96	2519.57
43499.34	-197.93	2379.61
43500.56	-139.96	2239.66
43501.07	-0.00	2181.69
43500.56	139.96	2239.66
43499.34	296.89	2379.61
43497.51	209.94	2589.54
43496.75	0.00	2676.50
43497.51	-209.94	2589.54
43499.34	-296.89	2379.61
43501.18	-209.94	2169.68
43501.93	-0.00	2082.73
43501.18	209.94	2169.68
43499.34	395.86	2379.61
43496.90	279.91	2659.52
43495.89	0.00	2775.46
43496.90	-279.91	2659.52
43499.34	-395.86	2379.61
43501.79	-279.91	2099.71
43502.80	-0.00	1983.77
43501.79	279.91	2099.71
43499.34	494.82	2379.61
43496.29	349.89	2729.49
43495.03	0.00	2874.42
43496.29	-349.89	2729.49
43499.34	-494.82	2379.61
43502.40	-349.89	2029.73
43503.66	-0.00	1884.81
43502.40	349.89	2029.73
43499.34	593.79	2379.61
43495.68	419.87	2799.47
43494.16	0.00	2973.38
43495.68	-419.87	2799.47
43499.34	-593.79	2379.61
43503.01	-419.87	1959.76
43504.53	-0.00	1785.85
43503.01	419.87	1959.76
43499.34	692.75	2379.61
43495.07	489.85	2869.45
43493.30	0.00	3072.34
43495.07	-489.85	2869.45
43499.34	-692.75	2379.61
43503.62	-489.85	1889.78
43505.39	-0.00	1686.89
43503.62	489.85	1889.78
43499.34	791.72	2379.61
43494.46	559.83	2939.42
43492.43	0.00	3171.30
43494.46	-559.83	2939.42
43499.34	-791.72	2379.61
43504.23	-559.83	1819.80
43506.25	-0.00	1587.92
43504.23	559.83	1819.80
43499.34	890.68	2379.61
43493.85	629.81	3009.40
43491.57	0.00	3270.26
43493.85	-629.81	3009.40
43499.34	-890.68	2379.61
43504.84	-629.81	1749.83
43507.12	-0.00	1488.96
43504.84	629.81	1749.83
43499.34	989.65	2379.61
43493.24	699.79	3079.37
43490.71	0.00	3369.22
43493.24	-699.79	3079.37
43499.34	-989.65	2379.61
43505.45	-699.79	1679.85
43507.98	-0.00	1390.00
43505.45	699.79	1679.85
43499.34	1088.61	2379.61
43492.63	769.77	3149.35
43489.84	0.00	3468.18
43492.63	-769.77	3149.35
43499.34	-1088.61	2379.61
43506.06	-769.77	1609.88
43508.84	-0.00	1291.04
43506.06	769.77	1609.88
43499.34	1187.58	2379.61
43492.02	839.74	3219.33
43488.98	0.00	3567.15
43492.02	-839.74	3219.33
43499.34	-1187.58	2379.61
43506.67	-839.74	1539.90
43509.71	-0.00	1192.08
43506.67	839.74	1539.90
43499.34	1286.54	2379.61
43491.40	909.72	3289.30
43488.12	0.00	3666.11
43491.40	-909.72	3289.30
43499.34	-1286.54	2379.61
43507.28	-909.72	1469.92
43510.57	-0.00	1093.12
43507.28	909.72	1469.92
43499.34	1385.51	2379.61
43490.79	979.70	3359.28
43487.25	0.00	3765.07
43490.79	-979.70	3359.28
43499.34	-1385.51	2379.61
43507.89	-979.70	1399.95
43511.43	-0.00	994.16
43507.89	979.70	1399.95
43499.34	1484.47	2379.61
43490.18	1049.68	3429.25
43486.39	0.00	3864.03
43490.18	-1049.68	3429.25
43499.34	-1484.47	2379.61
43508.50	-1049.68	1329.97
43512.30	-0.00	895.20
43508.50	1049.68	1329.97
